created_at,entry_id,field1
2022-09-05 09:03:57 UTC,1,33.60000
2022-09-05 09:04:14 UTC,2,33.90000
2022-09-05 09:04:33 UTC,3,36.30000
2022-09-05 09:04:50 UTC,4,36.60000
2022-09-05 09:15:11 UTC,5,33.90000
2022-09-05 09:15:28 UTC,6,33.90000
2022-09-05 09:15:44 UTC,7,33.90000
2022-09-05 09:16:00 UTC,8,36.00000
2022-09-05 09:16:17 UTC,9,38.70000
2022-09-05 09:16:34 UTC,10,36.90000
2022-09-05 09:16:51 UTC,11,34.20000
2022-09-05 09:17:08 UTC,12,37.50000
2022-09-05 09:17:25 UTC,13,37.20000
2022-09-05 09:17:43 UTC,14,36.60000
2022-09-05 09:23:19 UTC,15,34.20000
2022-09-05 09:23:34 UTC,16,36.60000
2022-09-05 09:23:53 UTC,17,34.20000
2022-09-05 09:24:09 UTC,18,36.30000
2022-09-05 09:24:27 UTC,19,34.50000
2022-09-05 09:24:45 UTC,20,34.80000
2022-09-05 09:25:03 UTC,21,34.20000
2022-09-05 09:25:22 UTC,22,34.20000
2022-09-05 09:25:38 UTC,23,36.30000
2022-09-05 09:25:53 UTC,24,36.30000
2022-09-05 09:26:09 UTC,25,34.20000
2022-09-05 09:26:26 UTC,26,33.90000
2022-09-05 09:26:44 UTC,27,33.90000
2022-09-05 09:27:02 UTC,28,33.90000
2022-09-05 09:27:18 UTC,29,33.90000
2022-09-05 09:27:34 UTC,30,33.90000
2022-09-05 09:27:51 UTC,31,33.90000
2022-09-05 09:28:08 UTC,32,34.20000
